iteration,walker,accepted,likelihood,b0,b1,b2,b3,Te
0.0,0.0,0.0,-35553359.99574896,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
1.0,1.0,0.0,-423811409.9348251,1748.492582752939,-0.08593096033341416,-0.03266708522034677,0.020769346729890645,497.3143203366152
3.0,0.0,0.0,-28092787.981922004,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
4.0,1.0,1.0,-46264950.91764714,1776.564468229044,-0.0856995194424405,-0.0318163560314987,0.020104546434190917,474.9218731360083
6.0,0.0,0.0,-34506348.13298621,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
7.0,1.0,0.0,-24962657.341266956,1794.8120235370613,-0.08794298139523254,-0.03215122633068128,0.019896686718360757,472.6366637972265
9.0,0.0,0.0,-23685971.432803888,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
10.0,1.0,0.0,-20184391.207343273,1787.2236297900483,-0.08628214583622872,-0.030359532824997194,0.02010523067571721,479.4870566496248
12.0,0.0,0.0,-32864380.469841905,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
13.0,1.0,0.0,-17337912.553436145,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
15.0,0.0,0.0,-28749517.269735448,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
16.0,1.0,0.0,-26240710.825352445,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
18.0,0.0,0.0,-25496322.45286605,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
19.0,1.0,0.0,-16730537.144259403,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
21.0,0.0,0.0,-30077744.2272263,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
22.0,1.0,0.0,-25000132.798895992,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
24.0,0.0,0.0,-28184832.3475327,1737.4143361482525,-0.06353549796851994,-0.004602235741488778,0.0003387667921466589,512.2110898277867
25.0,1.0,0.0,-21445867.479446914,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
27.0,0.0,0.0,-4558062.484838528,1742.8609773516453,-0.06366143299904944,-0.004854399690923885,-0.00032012159453548663,518.3919464783086
28.0,1.0,0.0,-16467637.936653739,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
30.0,0.0,0.0,-4236050.507694277,1742.8609773516453,-0.06366143299904944,-0.004854399690923885,-0.00032012159453548663,518.3919464783086
31.0,1.0,0.0,-28091559.744951475,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
33.0,0.0,0.0,-5122046.499647421,1742.8609773516453,-0.06366143299904944,-0.004854399690923885,-0.00032012159453548663,518.3919464783086
34.0,1.0,0.0,-28102421.075069293,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
36.0,0.0,0.0,-5994958.699143594,1742.8609773516453,-0.06366143299904944,-0.004854399690923885,-0.00032012159453548663,518.3919464783086
37.0,1.0,0.0,-30229597.472104955,1793.363038140021,-0.0851085291408771,-0.028081755821638604,0.02001265221917394,478.74885893947726
39.0,0.0,1.0,-888869.1126186289,1747.1808487497397,-0.06259868891875528,-0.005132326951176776,-7.596318444855747e-05,522.4007492013211
40.0,1.0,0.0,-14145482.865599291,1790.122645054702,-0.08448156887838273,-0.028070747312011556,0.018520969749925488,468.79182549631105
42.0,0.0,0.0,-702719.7296330107,1747.1808487497397,-0.06259868891875528,-0.005132326951176776,-7.596318444855747e-05,522.4007492013211
43.0,1.0,0.0,-10725569.09825889,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
45.0,0.0,1.0,-338687.21578124136,1750.3969158755208,-0.06373843299180658,-0.0035287385030762924,0.0009253885400063897,515.10313793871
46.0,1.0,0.0,-13992880.141246745,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
48.0,0.0,0.0,-395668.56940342236,1750.3969158755208,-0.06373843299180658,-0.0035287385030762924,0.0009253885400063897,515.10313793871
49.0,1.0,0.0,-13691949.899090184,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
51.0,0.0,1.0,-471314.4171420736,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
52.0,1.0,0.0,-11558344.656726891,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
54.0,0.0,0.0,-629855.9408038624,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
55.0,1.0,0.0,-11363502.603369981,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
57.0,0.0,0.0,-508660.44458730525,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
58.0,1.0,0.0,-12405314.761921182,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
60.0,0.0,0.0,-582953.8714416428,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
61.0,1.0,0.0,-12207584.669352623,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
63.0,0.0,0.0,-459983.8339979025,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
64.0,1.0,0.0,-19419131.10811535,1787.64374680712,-0.08501927403219088,-0.027972047199535374,0.018364985702548468,456.13731683400755
66.0,0.0,0.0,-894990.5998781456,1748.5029974750712,-0.06420801399800782,-0.002927938060038194,0.0005320874257940424,512.830202709497
