iteration,walker,accepted,likelihood,b0,b1,b2,b3,Te
0.0,0.0,0.0,-207862816.27127364,1730.6720189444877,-0.08932433620212689,0.009141477615407019,-0.01336329087368806,500.51111934423346
1.0,1.0,1.0,-123011815.7763384,1727.8607225467174,-0.07918404402446683,-0.009057684686039588,0.006212401642476617,465.10962547388664
3.0,0.0,0.0,-89143057.89175068,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
4.0,1.0,0.0,-220601818.8675303,1727.8607225467174,-0.07918404402446683,-0.009057684686039588,0.006212401642476617,465.10962547388664
6.0,0.0,0.0,-85982420.64428462,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
7.0,1.0,0.0,-389713.423407414,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
9.0,0.0,0.0,-82835495.65319093,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
10.0,1.0,0.0,-556967.1391002763,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
12.0,0.0,0.0,-83455640.53801706,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
13.0,1.0,0.0,-541023.4323604853,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
15.0,0.0,0.0,-95294099.35497895,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
16.0,1.0,0.0,-403266.56155492034,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
18.0,0.0,0.0,-96691142.80616592,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
19.0,1.0,0.0,-539880.4565401011,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
21.0,0.0,0.0,-81749683.02033107,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
22.0,1.0,0.0,-387434.59186664043,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
24.0,0.0,0.0,-73962473.13780889,1714.1378660412684,-0.08907719047560653,0.009030327613653218,-0.013766851830029975,496.80133186149294
25.0,1.0,0.0,-348377.32381728466,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
27.0,0.0,1.0,-68947176.66430421,1718.0119247867028,-0.09052177236108072,0.009659387853237989,-0.01363779139493125,499.58553479094303
28.0,1.0,0.0,-468393.01785868837,1754.555703032313,-0.0780893091979701,-0.008805462520536043,0.005284290731351078,458.9245443171985
30.0,0.0,0.0,-85426409.64289457,1706.3842531215666,-0.09025393970695543,0.01012416856864757,-0.013772715726824172,492.38539592717063
